GEOID,devices,max_dn,max_up,dn10,dn100,dn250,fiber_100u,state_x,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,type,quarter,year,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,NAME,LSAD,ALAND,AWATER,tile,state_y,county,tract,f_broadband,f_computer,f_ba,f_black,f_hispanic,log_mhi,mhi,population,households,broadband,computer,black,hispanic,mhi.1,ba,den_computers,n_computer,n_broadband,den_black,n_black,den_hispanic,n_hispanic,den_ba,n_ba,nhh_computer,nhh_broadband,nhh_computer_any_internet,nhh_computer_and_dialup,nhh_computer_and_broadband,nhh_computer_no_internet,nhh_no_computer,den_age,n_children,n_children_computer,n_children_computer_and_dialup,n_children_computer_and_broadband,n_children_computer_no_internet,n_children_no_computer,state_lkp
32001950100,88.0,67.59574468085106,5.234042553191492,0.175531914893617,0.09999999999999999,0.0606382978723404,0.0,32.0,230102301347752.8,82243.94318181818,12787.84090909091,46.53409090909091,3.875,fixed,Q1,2021.0,32.0,1.0,950100.0,1400000US32001950100,9501.0,CT,9578966466.0,144611540.0,"list(c(-117.48779296875, -117.482299804688, -117.482299804688, -117.48779296875, -117.48779296875, 39.6479973237342, 39.6479973237342, 39.6437675734185, 39.6437675734185, 39.6479973237342))",32.0,1.0,950100.0,0.8640000000000003,0.9260000000000002,0.21000000000000005,0.031000000000000007,0.129,11.08,64798.0,2342.0,927.0,86.39999999999999,92.60000000000001,3.100000000000001,12.900000000000004,64798.0,21.0,927.0,858.0,801.0,2342.0,73.0,2342.0,301.0,1708.0,359.0,858.0,801.0,858.0,7.0,788.0,63.0,69.0,2066.0,389.0,363.0,0.0,363.0,0.0,26.0,32.0
32001950301,55.0,930.0427807486632,41.86631016042783,1.7326203208556152,1.4705882352941178,0.9893048128342247,0.0,32.0,230101312202231.4,171469.72727272726,15309.345454545455,17.745454545454546,16.29090909090909,fixed,Q1,2021.0,32.0,1.0,950301.0,1400000US32001950301,9503.01,CT,4379397.0,0.0,"list(c(-118.773193359375, -118.767700195312, -118.767700195312, -118.773193359375, -118.773193359375, 39.4658845114204, 39.4658845114204, 39.4616436420555, 39.4616436420555, 39.4658845114204))",32.0,1.0,950301.0,0.875,0.9239999999999998,0.10500000000000004,0.069,0.126,10.6,40211.0,3940.0,1721.0,87.5,92.39999999999998,6.899999999999999,12.6,40211.0,10.5,1721.0,1590.0,1506.0,3940.0,273.0,3940.0,497.0,2471.0,259.0,1590.0,1506.0,1590.0,0.0,1506.0,84.0,131.0,3849.0,1051.0,1051.0,0.0,1051.0,0.0,0.0,32.0
32001950302,223.0,917.2,44.64081632653061,1.8571428571428565,1.6530612244897958,0.9755102040816328,0.0,32.0,230101312201134.12,142649.39461883408,22494.807174887894,20.506726457399104,9.022421524663677,fixed,Q1,2021.0,32.0,1.0,950302.0,1400000US32001950302,9503.020000000002,CT,5825704.0,0.0,"list(c(-118.778686523438, -118.773193359375, -118.773193359375, -118.778686523438, -118.778686523438, 39.4658845114204, 39.4658845114204, 39.4616436420555, 39.4616436420555, 39.4658845114204))",32.0,1.0,950302.0,0.834,0.9639999999999999,0.19399999999999995,0.033,0.181,10.709999999999999,44965.0,5203.0,2258.0,83.4,96.4,3.3,18.1,44965.0,19.4,2258.0,2176.0,1884.0,5203.0,170.0,5203.0,940.0,3638.0,705.0,2176.0,1884.0,2176.0,62.0,1884.0,230.0,82.0,5097.0,1144.0,1144.0,0.0,1144.0,0.0,0.0,32.0
32001950400,89.0,592.1538461538462,23.98901098901099,0.7362637362637362,0.7142857142857143,0.6263736263736264,0.0,32.0,230101312229740.6,41352.651685393255,12019.741573033707,34.29213483146067,11.0,fixed,Q1,2021.0,32.0,1.0,950400.0,1400000US32001950400,9504.0,CT,34169066.0,85200.0,"list(c(-118.701782226562, -118.6962890625, -118.6962890625, -118.701782226562, -118.701782226562, 39.410733055085, 39.410733055085, 39.4064888268498, 39.4064888268498, 39.410733055085))",32.0,1.0,950400.0,0.8990000000000001,1.0,0.1939999999999999,0.36699999999999994,0.0819999999999999,10.72,45417.0,550.0,149.0,89.89999999999999,100.0,36.699999999999996,8.200000000000001,45417.0,19.400000000000002,149.0,149.0,134.0,550.0,202.0,550.0,45.0,247.0,48.0,149.0,134.0,149.0,0.0,134.0,15.0,0.0,438.0,144.0,144.0,0.0,140.0,4.0,0.0,32.0
32001950500,52.0,197.15486725663717,12.053097345132747,0.597345132743363,0.3141592920353982,0.1946902654867257,0.0,32.0,230101312176495.3,91610.67307692308,16943.423076923078,36.40384615384615,3.673076923076923,fixed,Q1,2021.0,32.0,1.0,950500.0,1400000US32001950500,9505.0,CT,381216707.0,6227866.0,"list(c(-118.558959960938, -118.553466796875, -118.553466796875, -118.558959960938, -118.558959960938, 39.5506476190932, 39.5506476190932, 39.5464119196867, 39.5464119196867, 39.5506476190932))",32.0,1.0,950500.0,0.6709999999999999,0.829,0.13100000000000003,0.029999999999999995,0.08499999999999999,10.830000000000004,50357.0,1427.0,608.0,67.1,82.89999999999999,3.0,8.5,50357.0,13.100000000000003,608.0,504.0,408.0,1427.0,43.0,1427.0,122.0,972.0,127.0,504.0,408.0,504.0,1.0,402.0,101.0,104.0,1422.0,337.0,325.0,0.0,291.0,34.0,12.0,32.0
32001950600,136.0,312.68382352941177,21.60539215686275,1.6715686274509802,0.5931372549019607,0.30637254901960775,0.0,32.0,230101296738936.28,89631.28676470589,19866.816176470587,39.088235294117645,4.242647058823529,fixed,Q1,2021.0,32.0,1.0,950600.0,1400000US32001950600,9506.0,CT,1813670201.0,14960975.0,"list(c(-118.756713867188, -118.751220703125, -118.751220703125, -118.756713867188, -118.756713867188, 39.9392248407919, 39.9392248407919, 39.9350129603825, 39.9350129603825, 39.9392248407919))",32.0,1.0,950600.0,0.9000000000000002,0.921,0.18199999999999997,0.003000000000000001,0.22100000000000003,11.240000000000002,76307.0,5010.0,1917.0,90.0,92.1,0.2999999999999999,22.1,76307.0,18.199999999999992,1917.0,1765.0,1726.0,5010.0,13.0,5010.0,1107.0,3548.0,644.0,1765.0,1726.0,1765.0,0.0,1726.0,39.0,152.0,5010.0,1300.0,1300.0,0.0,1300.0,0.0,0.0,32.0
32001950700,194.0,161.71845949535194,14.148738379814075,1.1128818061088976,0.3253652058432935,0.1460823373173971,0.0,32.0,230101309257902.6,92544.06701030929,15334.907216494845,29.577319587628867,4.056701030927835,fixed,Q1,2021.0,32.0,1.0,950700.0,1400000US32001950700,9507.0,CT,1003557682.0,24862867.0,"list(c(-118.756713867188, -118.751220703125, -118.751220703125, -118.756713867188, -118.756713867188, 39.2450168071331, 39.2450168071331, 39.2407625100131, 39.2407625100131, 39.2450168071331))",32.0,1.0,950700.0,0.851,0.9369999999999998,0.24100000000000002,0.0,0.06299999999999999,11.230000000000002,75049.0,5787.0,2360.0,85.10000000000001,93.70000000000002,0.0,6.299999999999999,75049.0,24.099999999999998,2360.0,2212.0,2009.0,5787.0,0.0,5787.0,364.0,4234.0,1019.0,2212.0,2009.0,2212.0,0.0,1992.0,220.0,148.0,5787.0,1149.0,1149.0,0.0,1103.0,46.0,0.0,32.0
32003000101,203.0,928.623188405797,807.3913043478261,3.202898550724637,1.826086956521739,1.7971014492753623,0.8550724637681157,32.0,230131002032586.9,177321.41379310345,62001.773399014775,13.403940886699507,31.123152709359605,fixed,Q1,2021.0,32.0,3.0,101.0,1400000US32003000101,1.0100000000000002,CT,3718504.0,16683.0,"list(c(-115.1806640625, -115.175170898438, -115.175170898438, -115.1806640625, -115.1806640625, 36.1822249804225, 36.1822249804225, 36.1777910832907, 36.1777910832907, 36.1822249804225))",32.0,3.0,101.0,0.792,0.9219999999999999,0.11199999999999989,0.10999999999999999,0.611,10.989999999999998,59434.0,6832.0,1990.0,79.2,92.20000000000002,11.0,61.10000000000001,59434.0,11.2,1990.0,1835.0,1576.0,6832.0,754.0,6832.0,4173.0,4169.0,465.0,1835.0,1576.0,1835.0,0.0,1545.0,290.0,155.0,6777.0,1960.0,1937.0,0.0,1312.0,625.0,23.0,32.0
32003000103,268.0,1000.0,558.9473684210525,3.1315789473684212,1.5789473684210527,1.5789473684210527,0.5789473684210525,32.0,230131002202942.22,157498.24253731343,50558.84328358209,14.335820895522389,29.89179104477612,fixed,Q1,2021.0,32.0,3.0,103.0,1400000US32003000103,1.0299999999999998,CT,1298899.0,0.0,"list(c(-115.224609375, -115.219116210938, -115.219116210938, -115.224609375, -115.224609375, 36.1644878863206, 36.1644878863206, 36.1600529855135, 36.1600529855135, 36.1644878863206))",32.0,3.0,103.0,0.6949999999999998,0.8709999999999999,0.048,0.09500000000000003,0.5360000000000001,10.649999999999999,42163.0,6467.0,1995.0,69.5,87.09999999999998,9.5,53.599999999999994,42163.0,4.800000000000001,1995.0,1737.0,1387.0,6467.0,617.0,6467.0,3467.0,4208.0,202.0,1737.0,1387.0,1737.0,0.0,1377.0,360.0,258.0,6467.0,1721.0,1544.0,0.0,1240.0,304.0,177.0,32.0
32003000105,156.0,895.2127659574463,667.0212765957447,3.6170212765957457,1.6382978723404253,1.5957446808510636,0.7021276595744682,32.0,230131002163361.34,128030.8782051282,56401.64102564102,20.134615384615383,19.153846153846153,fixed,Q1,2021.0,32.0,3.0,105.0,1400000US32003000105,1.05,CT,2034700.0,0.0,"list(c(-115.197143554688, -115.191650390625, -115.191650390625, -115.197143554688, -115.197143554688, 36.1644878863206, 36.1644878863206, 36.1600529855135, 36.1600529855135, 36.1644878863206))",32.0,3.0,105.0,0.8129999999999998,0.9170000000000001,0.08300000000000002,0.051,0.748,11.150000000000002,69423.0,4333.0,1126.0,81.29999999999998,91.70000000000002,5.1,74.8,69423.0,8.3,1126.0,1032.0,916.0,4333.0,219.0,4333.0,3243.0,2872.0,238.0,1032.0,916.0,1032.0,0.0,916.0,116.0,94.0,4333.0,1051.0,1051.0,0.0,1006.0,45.0,0.0,32.0
