state,county,tract,geoid,f_broadband,f_computer,f_ba,f_black,f_hispanic,log_mhi,mhi,population,households,broadband,computer,black,hispanic,mhi.1,ba,den_computers,n_computer,n_broadband,den_black,n_black,den_hispanic,n_hispanic,den_ba,n_ba,nhh_computer,nhh_broadband,nhh_computer_any_internet,nhh_computer_and_dialup,nhh_computer_and_broadband,nhh_computer_no_internet,nhh_no_computer,den_age,n_children,n_children_computer,n_children_computer_and_dialup,n_children_computer_and_broadband,n_children_computer_no_internet,n_children_no_computer,state_lkp
17,1,100,17001000100,0.813,0.861,0.24600000000000002,0.068,0.0,10.78,48088.0,4761.0,2202.0,81.3,86.1,6.8,0.0,48088.0,24.6,2202.0,1896.0,1791.0,4761.0,324.0,4761.0,0.0,3381.0,831.0,1896,1791,1896,0,1791,105,306,4741,1044,1044,0,978,66,0,17
17,1,201,17001000201,0.879,0.94,0.266,0.078,0.016,10.71,44855.0,1985.0,889.0,87.9,94.0,7.8,1.6,44855.0,26.6,889.0,836.0,781.0,1985.0,155.0,1985.0,32.0,1400.0,373.0,836,781,836,5,781,50,53,1961,383,383,0,383,0,0,17
17,1,202,17001000202,0.863,0.9329999999999999,0.221,0.08,0.008,10.83,50375.0,2376.0,970.0,86.3,93.3,8.0,0.8,50375.0,22.1,970.0,905.0,837.0,2376.0,191.0,2376.0,19.0,1527.0,338.0,905,837,905,7,829,69,65,2336,521,521,0,498,23,0,17
17,1,400,17001000400,0.691,0.78,0.094,0.182,0.006,10.31,30164.0,3422.0,1316.0,69.1,78.0,18.2,0.6,30164.0,9.4,1316.0,1027.0,909.0,3422.0,624.0,3422.0,20.0,2536.0,238.0,1027,909,1027,9,909,109,289,3147,645,637,0,619,18,8,17
17,1,500,17001000500,0.665,0.787,0.113,0.133,0.035,10.62,41008.0,2175.0,813.0,66.5,78.7,13.3,3.5,41008.0,11.3,813.0,640.0,541.0,2175.0,290.0,2175.0,77.0,1455.0,165.0,640,541,640,0,536,104,173,1878,475,458,0,434,24,17,17
17,1,600,17001000600,0.8109999999999999,0.882,0.37799999999999995,0.05,0.001,10.91,54950.0,4055.0,1691.0,81.1,88.2,5.0,0.1,54950.0,37.8,1691.0,1491.0,1371.0,4055.0,202.0,4055.0,6.0,2741.0,1035.0,1491,1371,1491,0,1352,139,200,3990,860,827,0,798,29,33,17
17,1,700,17001000700,0.523,0.67,0.175,0.11800000000000001,0.068,9.9,19869.0,1140.0,703.0,52.3,67.0,11.8,6.8,19869.0,17.5,703.0,471.0,368.0,1140.0,135.0,1140.0,77.0,884.0,155.0,471,368,471,0,363,108,232,990,81,81,0,67,14,0,17
17,1,800,17001000800,0.593,0.705,0.04,0.177,0.06,10.19,26738.0,2583.0,1113.0,59.3,70.5,17.7,6.0,26738.0,4.0,1113.0,785.0,660.0,2583.0,458.0,2583.0,155.0,1826.0,73.0,785,660,785,8,660,117,328,2426,639,608,8,510,90,31,17
17,1,900,17001000900,0.79,0.88,0.2,0.057999999999999996,0.004,10.76,46897.0,2846.0,1175.0,79.0,88.0,5.8,0.4,46897.0,20.0,1175.0,1034.0,928.0,2846.0,166.0,2846.0,12.0,1538.0,308.0,1034,928,1034,0,928,106,141,2846,646,637,0,629,8,9,17
17,1,1001,17001001001,0.8240000000000001,0.8240000000000001,0.22699999999999998,0.017,0.045,10.93,55708.0,3478.0,1474.0,82.4,82.4,1.7,4.5,55708.0,22.7,1474.0,1214.0,1215.0,3478.0,60.0,3478.0,157.0,2369.0,538.0,1214,1215,1214,0,1177,37,260,3478,930,754,0,754,0,176,17
