state,county,tract,geoid,f_broadband,f_computer,f_ba,f_black,f_hispanic,log_mhi,mhi,population,households,broadband,computer,black,hispanic,mhi.1,ba,den_computers,n_computer,n_broadband,den_black,n_black,den_hispanic,n_hispanic,den_ba,n_ba,nhh_computer,nhh_broadband,nhh_computer_any_internet,nhh_computer_and_dialup,nhh_computer_and_broadband,nhh_computer_no_internet,nhh_no_computer,den_age,n_children,n_children_computer,n_children_computer_and_dialup,n_children_computer_and_broadband,n_children_computer_no_internet,n_children_no_computer,state_lkp
12,1,200,12001000200,0.816,0.968,0.27899999999999997,0.184,0.13,9.79,17786.0,7557.0,2583.0,81.6,96.8,18.4,13.0,17786.0,27.9,2583.0,2501.0,2109.0,7557.0,1387.0,7557.0,982.0,1876.0,524.0,2501,2109,2501,0,2109,392,82,6444,238,226,0,207,19,12,12
12,1,301,12001000301,0.723,0.879,0.45,0.429,0.069,10.4,33011.0,4426.0,1750.0,72.3,87.9,42.9,6.9,33011.0,45.0,1750.0,1539.0,1265.0,4426.0,1898.0,4426.0,307.0,2717.0,1222.0,1539,1265,1539,0,1254,285,211,4397,531,476,0,365,111,55,12
12,1,302,12001000302,0.818,0.885,0.315,0.223,0.24100000000000002,10.4,32750.0,2319.0,1084.0,81.8,88.5,22.3,24.1,32750.0,31.5,1084.0,959.0,887.0,2319.0,516.0,2319.0,558.0,1710.0,539.0,959,887,959,0,887,72,125,2288,377,365,0,348,17,12,12
12,1,400,12001000400,0.7859999999999999,0.8490000000000001,0.245,0.56,0.078,10.59,39864.0,6256.0,2151.0,78.6,84.9,56.0,7.8,39864.0,24.5,2151.0,1827.0,1690.0,6256.0,3504.0,6256.0,488.0,4068.0,995.0,1827,1690,1827,0,1675,152,324,6239,2005,1736,0,1680,56,269,12
12,1,500,12001000500,0.852,0.9420000000000001,0.557,0.19899999999999998,0.094,10.61,40588.0,4973.0,2522.0,85.2,94.2,19.9,9.4,40588.0,55.7,2522.0,2376.0,2149.0,4973.0,990.0,4973.0,465.0,3572.0,1989.0,2376,2149,2376,0,2149,227,146,4836,602,602,0,382,220,0,12
12,1,600,12001000600,0.675,0.8540000000000001,0.139,0.946,0.013000000000000001,10.34,30817.0,4963.0,1558.0,67.5,85.4,94.6,1.3,30817.0,13.9,1558.0,1330.0,1051.0,4963.0,4694.0,4963.0,66.0,2706.0,377.0,1330,1051,1330,22,1051,257,228,4942,1852,1813,28,1554,231,39,12
12,1,700,12001000700,0.606,0.6809999999999999,0.13,0.6659999999999999,0.071,10.53,37430.0,6505.0,2374.0,60.6,68.1,66.6,7.1,37430.0,13.0,2374.0,1616.0,1439.0,6505.0,4330.0,6505.0,464.0,4991.0,650.0,1616,1439,1616,16,1372,228,758,6485,938,859,0,770,89,79,12
12,1,806,12001000806,0.79,0.953,0.598,0.102,0.12,9.97,21456.0,2526.0,1080.0,79.0,95.3,10.2,12.0,21456.0,59.8,1080.0,1029.0,853.0,2526.0,257.0,2526.0,302.0,1304.0,780.0,1029,853,1029,0,853,176,51,2306,239,239,0,239,0,0,12
12,1,808,12001000808,0.925,0.993,0.473,0.29,0.165,10.5,36141.0,3430.0,1237.0,92.5,99.3,29.0,16.5,36141.0,47.3,1237.0,1228.0,1144.0,3430.0,994.0,3430.0,566.0,1978.0,936.0,1228,1144,1228,0,1135,93,9,3430,526,526,0,436,90,0,12
12,1,809,12001000809,0.925,0.988,0.539,0.223,0.124,10.55,38148.0,1287.0,588.0,92.5,98.8,22.3,12.4,38148.0,53.9,588.0,581.0,544.0,1287.0,287.0,1287.0,159.0,905.0,488.0,581,544,581,0,544,37,7,1053,106,106,0,90,16,0,12
12,1,901,12001000901,0.486,0.993,0.863,0.139,0.14800000000000002,10.04,23010.0,4403.0,438.0,48.6,99.3,13.9,14.8,23010.0,86.3,438.0,435.0,213.0,4403.0,612.0,4403.0,652.0,511.0,441.0,435,213,435,0,213,222,3,783,161,161,0,76,85,0,12
12,1,902,12001000902,0.28600000000000003,1.0,0.358,0.102,0.17300000000000001,,-666666666.0,6684.0,28.0,28.6,100.0,10.2,17.3,-666666666.0,35.8,28.0,28.0,8.0,6684.0,680.0,6684.0,1159.0,106.0,38.0,28,8,28,0,8,20,0,33,0,0,0,0,0,0,12
12,1,1000,12001001000,0.94,0.9990000000000001,0.708,0.047,0.12300000000000001,10.5,36402.0,5703.0,2375.0,94.0,99.9,4.7,12.3,36402.0,70.8,2375.0,2373.0,2232.0,5703.0,268.0,5703.0,703.0,2500.0,1769.0,2373,2232,2373,0,2232,141,2,5496,400,400,0,400,0,0,12
12,1,1100,12001001100,0.922,0.9490000000000001,0.604,0.135,0.063,11.27,78244.0,6977.0,2903.0,92.2,94.9,13.5,6.3,78244.0,60.4,2903.0,2756.0,2678.0,6977.0,943.0,6977.0,440.0,5019.0,3033.0,2756,2678,2756,0,2678,78,147,6977,1566,1566,0,1566,0,0,12
12,1,1201,12001001201,0.8909999999999999,0.92,0.494,0.18,0.067,11.09,65543.0,3471.0,1292.0,89.1,92.0,18.0,6.7,65543.0,49.4,1292.0,1189.0,1151.0,3471.0,626.0,3471.0,234.0,2327.0,1150.0,1189,1151,1189,0,1130,59,103,3471,605,578,0,578,0,27,12
12,1,1202,12001001202,0.9229999999999999,0.9790000000000001,0.45799999999999996,0.19,0.114,11.12,67416.0,7857.0,3297.0,92.3,97.9,19.0,11.4,67416.0,45.8,3297.0,3228.0,3044.0,7857.0,1492.0,7857.0,892.0,5905.0,2702.0,3228,3044,3228,17,3022,189,69,7843,1305,1251,0,1166,85,54,12
12,1,1203,12001001203,0.883,0.943,0.478,0.193,0.125,10.68,43508.0,3506.0,1641.0,88.3,94.3,19.3,12.5,43508.0,47.8,1641.0,1548.0,1449.0,3506.0,677.0,3506.0,437.0,2604.0,1246.0,1548,1449,1548,0,1449,99,93,3487,440,412,0,385,27,28,12
12,1,1400,12001001400,0.777,0.899,0.152,0.625,0.022000000000000002,10.66,42813.0,4652.0,976.0,77.7,89.9,62.5,2.2,42813.0,15.2,976.0,877.0,758.0,4652.0,2907.0,4652.0,102.0,3141.0,477.0,877,758,877,6,758,113,99,3105,911,896,0,843,53,15,12
12,1,1514,12001001514,0.882,0.9640000000000001,0.635,0.096,0.183,10.2,26827.0,1689.0,769.0,88.2,96.4,9.6,18.3,26827.0,63.5,769.0,741.0,678.0,1689.0,162.0,1689.0,309.0,906.0,575.0,741,678,741,5,678,58,28,1656,87,87,0,87,0,0,12
12,1,1515,12001001515,0.8370000000000001,0.963,0.47200000000000003,0.172,0.11900000000000001,9.83,18542.0,4919.0,2175.0,83.7,96.3,17.2,11.9,18542.0,47.2,2175.0,2095.0,1821.0,4919.0,848.0,4919.0,583.0,1991.0,940.0,2095,1821,2095,0,1812,283,80,4919,238,120,0,120,0,118,12
12,1,1516,12001001516,0.7490000000000001,0.9590000000000001,0.579,0.21899999999999997,0.114,9.86,19229.0,2422.0,983.0,74.9,95.9,21.9,11.4,19229.0,57.9,983.0,943.0,736.0,2422.0,530.0,2422.0,276.0,991.0,574.0,943,736,943,0,736,207,40,2422,153,123,0,123,0,30,12
